prix,ville,departement,surface,pieces,latitude,longitude,source,url
595000,Villeurbanne,69,135,6,45.77012,4.86924,PAP,https://www.pap.fr/annonces/maison-villeurbanne-69100-r464100253
357000,Vaulx-en-Velin (près Lyon),69,101,5,45.77836,4.91368,PAP,https://www.pap.fr/annonces/maison-vaulx-en-velin-69120-r463700742
349000,Bron (près Lyon),69,98,5,45.72719,4.91438,PAP,https://www.pap.fr/annonces/maison-bron-69500-r464400070
790000,Caluire-et-Cuire (près Lyon),69,98,4,45.7797,4.84061,PAP,https://www.pap.fr/annonces/maison-caluire-et-cuire-69300-r463801469
549000,Cagnes-sur-Mer (près Nice),06,110,5,43.65408,7.13908,PAP,https://www.pap.fr/annonces/maison-cagnes-sur-mer-06800-r463202729
499000,Cagnes-sur-Mer (près Nice),06,68,3,43.66259,7.15674,PAP,https://www.pap.fr/annonces/maison-cagnes-sur-mer-06800-r464002296
615000,Villeneuve-Loubet (près Nice),06,117,5,43.64887,7.11906,PAP,https://www.pap.fr/annonces/maison-villeneuve-loubet-06270-r463302569
1250000,Villeneuve-Loubet (près Nice),06,170,5,43.66096,7.13645,PAP,https://www.pap.fr/annonces/maison-villeneuve-loubet-06270-r461500951
707000,Villeneuve-Loubet (près Nice),06,130,5,43.65975,7.12322,PAP,https://www.pap.fr/annonces/maison-villeneuve-loubet-06270-r464200549
420000,Villeneuve-Loubet (près Nice),06,90,3,43.66933,7.11482,PAP,https://www.pap.fr/annonces/maison-villeneuve-loubet-06270-r464101395
1890000,Villeneuve-Loubet (près Nice),06,156,5,43.6665,7.12065,PAP,https://www.pap.fr/annonces/maison-villeneuve-loubet-06270-r463002093
850000,Saint-Jeannet (près Nice),06,199,7,43.74536,7.13753,PAP,https://www.pap.fr/annonces/maison-saint-jeannet-r461101060
1595000,Antibes (près Nice),06,183,6,43.5758,7.13269,PAP,https://www.pap.fr/annonces/maison-antibes-06600-r461700243
955000,Antony (près Paris),92,156,6,48.74614,2.29966,PAP,https://www.pap.fr/annonces/maison-antony-92160-r463500292
950000,Antony (près Paris),92,195,8,48.75713,2.29464,PAP,https://www.pap.fr/annonces/maison-antony-92160-r463602904
895000,Antony (près Paris),92,130,6,48.75495,2.28721,PAP,https://www.pap.fr/annonces/maison-antony-92160-r463303412
679000,Antony (près Paris),92,130,5,48.74323,2.29064,PAP,https://www.pap.fr/annonces/maison-antony-92160-r463803506
541500,Mérignac (près Bordeaux),33,124,6,44.84573,-0.65144,PAP,https://www.pap.fr/annonces/maison-merignac-33700-r463003381
559000,Angers,49,80,4,47.47726,-0.56177,PAP,https://www.pap.fr/annonces/maison-angers-49000-r464501293
245000,Angers,49,67.23,3,47.48858,-0.56402,PAP,https://www.pap.fr/annonces/maison-angers-49000-r464200897
359000,Angers,49,80,4,47.47859,-0.5611,PAP,https://www.pap.fr/annonces/maison-angers-49000-r463902686
769000,Angers,49,230,9,47.47083,-0.56291,PAP,https://www.pap.fr/annonces/maison-angers-49000-r464001055
480000,Angers,49,129,8,47.48152,-0.55617,PAP,https://www.pap.fr/annonces/maison-angers-49000-r463903683
675000,Saint-Barthélemy-d'Anjou (près Angers),49,271,10,47.47246,-0.51222,PAP,https://www.pap.fr/annonces/maison-saint-barthelemy-d-anjou-49124-r464200373
399900,Les Ponts-de-Cé (près Angers),49,135,6,47.42238,-0.52727,PAP,https://www.pap.fr/annonces/maison-les-ponts-de-ce-r462402925
360000,Écouflant (près Angers),49,160,6,47.51824,-0.54179,PAP,https://www.pap.fr/annonces/maison-ecouflant-49000-r460102177
565000,Tours,37,134,5,47.40567,0.69595,PAP,https://www.pap.fr/annonces/maison-tours-37000-r457600497
429000,Tours,37,178,7,47.39779,0.68757,PAP,https://www.pap.fr/annonces/maison-tours-37000-r463801988
375000,Tours,37,81,3,47.38588,0.67316,PAP,https://www.pap.fr/annonces/maison-tours-37000-r463903406
470000,Tours,37,135,6,47.39478,0.67423,PAP,https://www.pap.fr/annonces/maison-tours-r463301862
360000,Tours,37,93,4,47.38666,0.67861,PAP,https://www.pap.fr/annonces/maison-tours-37000-r464201629
549000,Reims,51,165,7,49.24702,4.03083,PAP,https://www.pap.fr/annonces/maison-reims-51100-r458602736
260000,Reims,51,116,5,49.25687,4.03992,PAP,https://www.pap.fr/annonces/maison-reims-51100-r458700045
235000,Reims,51,83,4,49.25876,4.03507,PAP,https://www.pap.fr/annonces/maison-reims-51100-r459903019
265000,Reims,51,110,6,49.25829,4.0356,PAP,https://www.pap.fr/annonces/maison-reims-51100-r459202419
520000,Dijon,21,140,6,47.3322,5.05227,PAP,https://www.pap.fr/annonces/maison-dijon-21000-maison-140-m2-et-dependances-total-317-m2-r464000274
