source_id,organisme,fichier,lien,categorie
S01,FFB,nf-dtu-normes.pdf,https://www.ffbatiment.fr/techniques-batiment/normalisation-regles-de-lart/nf-dtu-normes,reglementaire_technique
S04,ADEME,librairie-ademe.pdf,https://librairie.ademe.fr/,officiel_technique
S06,BRGM,brgm.pdf,https://www.brgm.fr/fr,scientifique
S10,ADEME,TravauxConstructionExistante_1.pdf,fichier local,technique
S11,ADEME,31400-fr-unprotected-guide-de-l-entretien-pour-des-batiments-durables-2023.pdf,fichier local (guide entretien batiments durables 2023),officiel_technique
